Time,ADC Value,Std Deviation,Calibrated OD
10290,2106.04,130.3047,0.3093781
10320,2104.58,131.6203,0.3110375
10350,2095.84,130.8644,0.3209956
10380,2095.23,128.441,0.3216923
10410,2096.85,130.4885,0.3198426
10440,2099.51,131.0507,0.3168091
10470,2094.03,130.8177,0.323063
10500,2106.73,131.1065,0.3085942
10530,2102.35,130.1049,0.3135743
10560,2104.34,131.0641,0.3113103
10590,2108.16,131.2243,0.3069707
10620,2115.86,130.5364,0.2982462
10650,2102.52,130.8266,0.3133809
10680,2102.08,129.6333,0.3138817
10710,2104.93,130.0501,0.3106397
10740,2099.03,130.752,0.3173562
10770,2104.49,130.1473,0.3111399
10800,2110.49,130.2848,0.3043273
10830,2115.44,132.0081,0.2987216
10860,2101.18,129.986,0.3149065
10890,2108.24,130.8893,0.3068797
10920,2106.15,129.9172,0.3092533
10950,2107.97,131.1194,0.3071863
10980,2104.23,130.2253,0.3114355
11010,2093.49,131.8082,0.3236804
11040,2104.8,130.9538,0.3107874
11070,2113.08,131.2168,0.3013923
11100,2101.0,131.481,0.3151115
11130,2097.65,130.8378,0.3189301
11160,2102.8,130.566,0.3130622
11190,2094.7,130.4056,0.3222978
11220,2103.79,131.0216,0.3119359
11250,2106.13,132.1269,0.3092761
11280,2093.24,130.1622,0.3239661
11310,2089.01,130.5297,0.3288064
11340,2111.12,130.7673,0.3036129
11370,2106.53,131.1086,0.3088214
11400,2100.93,130.8064,0.3151913
11430,2105.27,131.258,0.3102531
11460,2113.59,130.988,0.3008148
11490,2107.05,129.995,0.3082307
11520,2103.85,130.8043,0.3118675
11550,2091.97,130.8326,0.3254184
11580,2109.63,126.7821,0.3053026
11610,2100.92,130.9478,0.3152027
11640,2094.21,127.6475,0.3228575
11670,2087.01,130.8487,0.3310986
11700,2099.43,128.596,0.3169004
11730,2099.55,130.6533,0.3167635
11760,2088.97,127.5138,0.3288524
11790,2109.35,130.0088,0.3056201
11820,2090.05,128.0503,0.3276154
11850,2099.26,130.7416,0.317094
11880,2111.41,129.5791,0.3032844
11910,2091.95,130.6071,0.3254411
11940,2111.0,128.6929,0.3037491
11970,2093.82,130.6998,0.323303
12000,2108.93,128.28,0.3060967
12030,2094.34,130.7513,0.3227088
12060,2102.56,129.7399,0.3133353
12090,2095.66,128.8089,0.3212013
12120,2095.54,128.1353,0.3213382
12150,2104.37,127.303,0.3112762
12180,2079.21,126.7449,0.3400587
12210,2091.96,127.3896,0.3254298
12240,2096.66,127.216,0.3200597
12270,2097.97,129.1615,0.318565
12300,2090.34,126.8475,0.3272835
12330,2081.69,126.9285,0.3372062
12360,2096.0,128.2708,0.320813
12390,2095.29,126.1341,0.3216237
12420,2093.03,130.0951,0.3242062
12450,2094.71,127.336,0.3222862
12480,2077.57,127.4507,0.3419468
12510,2086.32,128.9761,0.3318898
12540,2098.19,127.7535,0.3183142
12570,2094.49,131.4237,0.3225374
12600,2088.49,127.1942,0.3294023
12630,2085.06,129.4495,0.3333354
12660,2100.76,128.2924,0.3153848
12690,2086.72,131.1399,0.3314312
12720,2103.33,129.7645,0.3124591
12750,2094.13,129.9812,0.3229489
12780,2092.22,128.1186,0.3251325
12810,2080.49,130.2128,0.338586
12840,2091.8,127.5125,0.3256128
12870,2099.53,130.9591,0.3167862
12900,2096.7,128.1134,0.320014
12930,2088.26,130.626,0.3296658
12960,2110.36,128.417,0.3044745
12990,2081.7,129.8987,0.3371948
13020,2099.83,127.7013,0.3164443
13050,2107.24,130.5637,0.308015
13080,2086.59,128.6093,0.3315801
13110,2094.9,130.6017,0.3220693
13140,2100.26,126.6752,0.3159545
13170,2093.1,130.6108,0.324126
13200,2084.02,128.4695,0.3345293
13230,2084.81,129.8071,0.3336223
13260,2100.99,127.6962,0.3151228
13290,2099.41,129.0923,0.3169232
13320,2090.81,127.9199,0.3267454
13350,2095.19,130.9131,0.321738
13380,2076.39,126.214,0.3433064
13410,2072.04,130.3166,0.3483247
13440,2099.32,129.995,0.3170255
13470,2090.92,130.5904,0.3266197
13500,2078.09,128.2568,0.3413478
13530,2101.7,130.6019,0.3143145
13560,2090.63,127.7435,0.3269517
13590,2083.55,129.9428,0.3350689
13620,2092.51,128.6587,0.3248007
13650,2098.17,145.9676,0.318337
13680,2096.65,127.9857,0.3200711
13710,2091.26,130.3077,0.3262306
13740,2088.54,128.5669,0.329345
13770,2093.82,131.2343,0.323303
13800,2073.29,126.4787,0.3468815
13830,2086.35,131.6164,0.3318553
13860,2106.52,129.1856,0.3088327
13890,2087.68,129.1312,0.3303306
13920,2093.72,127.4881,0.3234174
13950,2083.87,130.6013,0.3347013
13980,2084.1,126.9079,0.3344373
14010,2094.74,130.8765,0.322252
14040,2086.58,126.6307,0.3315916
14070,2085.54,128.8871,0.3327846
14100,2096.87,128.633,0.3198198
14130,2091.32,128.8654,0.3261618
14160,2087.18,127.9783,0.3309038
14190,2100.74,127.2016,0.3154076
14220,2085.56,127.3937,0.3327615
14250,2085.55,128.4093,0.3327732
14280,2097.85,129.128,0.3187018
14310,2092.8,128.4508,0.324469
14340,2090.76,126.5196,0.3268028
14370,2082.98,127.0294,0.3357237
14400,2101.14,124.8491,0.3149521
14430,2087.09,128.5543,0.3310067
14460,2091.54,125.893,0.3259102
14490,2074.88,129.7455,0.3450473
14520,2095.78,128.1353,0.3210642
14550,2091.8,131.6238,0.3256128
14580,2099.41,119.2462,0.3169232
14610,2088.98,130.6973,0.328841
14640,2081.85,128.0761,0.3370222
14670,2079.9,130.9457,0.3392649
14700,2093.73,127.4769,0.3234059
14730,2083.06,131.502,0.3356319
14760,2097.91,127.8915,0.3186335
14790,2071.08,129.0822,0.3494336
14820,2081.24,139.6724,0.3377234
14850,2080.53,129.6202,0.3385399
14880,2071.98,126.3549,0.348394
14910,2081.05,131.9846,0.3379418
14940,2106.37,129.9518,0.309003
14970,2082.93,130.6402,0.3357814
15000,2092.62,128.3066,0.3246748
15030,2081.62,130.5461,0.3372866
15060,2102.36,128.5485,0.313563
15090,2080.18,128.7374,0.3389426
15120,2092.95,128.8474,0.3242976
15150,2079.84,130.7505,0.3393337
15180,2077.52,128.5805,0.3420043
15210,2080.46,128.4741,0.3386205
15240,2084.28,127.7694,0.3342308
15270,2080.83,129.8911,0.3381949
15300,2086.95,128.0381,0.3311675
15330,2092.79,129.8175,0.3244805
15360,2088.34,125.7628,0.329574
15390,2081.77,128.6413,0.3371141
15420,2078.96,126.9152,0.3403464
15450,2088.4,129.4119,0.3295055
15480,2075.71,128.0132,0.3440902
15510,2072.84,128.4615,0.3474009
15540,2083.92,128.232,0.3346443
15570,2068.75,130.0977,0.3521271
15600,2081.71,127.3046,0.3371832
15630,2078.08,130.1912,0.3413594
15660,2072.22,126.5276,0.348117
15690,2067.63,129.8331,0.3534232
15720,2082.9,128.3914,0.3358158
15750,2066.94,130.2428,0.3542219
15780,2075.68,126.8669,0.3441248
15810,2077.61,131.8677,0.3419006
15840,2080.66,129.3029,0.3383906
15870,2078.98,131.1234,0.3403234
15900,2068.87,127.401,0.3519883
15930,2060.49,128.9293,0.3617007
15960,2073.54,126.7921,0.346593
15990,2070.55,131.3023,0.3500461
16020,2073.45,126.8827,0.3466969
16050,2087.36,130.3779,0.3306971
16080,2074.39,128.5769,0.3456125
16110,2085.1,129.87,0.3332894
16140,2096.93,129.6016,0.3197515
16170,2079.72,130.0044,0.3394718
16200,2075.96,126.6247,0.343802
16230,2066.01,130.7186,0.3552987
16260,2063.68,127.5186,0.357999
16290,2080.4,129.9229,0.3386896
16320,2074.43,128.8144,0.3455662
16350,2095.04,130.4264,0.3219092
16380,2079.3,127.587,0.339955
16410,2076.84,130.0582,0.3427876
16440,2076.4,126.3717,0.3432949
16470,2065.33,129.2722,0.3560863
16500,2077.3,125.9843,0.3422579
16530,2080.57,130.2304,0.3384938
16560,2077.42,127.1861,0.3421197
16590,2055.32,128.2753,0.3677123
16620,2082.06,127.9451,0.3367809
16650,2055.03,130.2125,0.36805
16680,2065.66,127.6252,0.3557041
16710,2066.56,128.7902,0.3546617
16740,2079.88,126.2084,0.3392879
16770,2072.46,130.0782,0.3478397
16800,2065.09,125.7794,0.3563643
16830,2073.05,128.0668,0.3471585
16860,2075.46,127.2627,0.3443783
16890,2086.65,130.5397,0.3315115
16920,2083.37,127.7754,0.3352757
16950,2063.13,129.2458,0.3586369
16980,2056.51,125.7477,0.3663273
17010,2069.58,130.2938,0.3511672
17040,2062.99,127.9747,0.3587992
17070,2071.32,128.8786,0.3491562
17100,2071.82,127.2148,0.3485788
17130,2068.84,129.4834,0.352023
17160,2065.24,126.1374,0.3561906
17190,2067.16,130.0043,0.3539672
17220,2062.63,125.4126,0.3592167
17250,2064.35,125.3563,0.3572219
17280,2062.61,125.4626,0.3592398
17310,2060.71,130.2485,0.3614452
17340,2066.36,126.4863,0.3548933
17370,2066.4,129.8583,0.3548471
17400,2066.63,126.0807,0.3545809
17430,2061.34,127.867,0.3607137
17460,2068.53,126.9132,0.3523817
17490,2066.06,129.9717,0.3552408
17520,2068.56,124.8141,0.352347
17550,2060.57,128.9602,0.3616077
17580,2064.12,128.9025,0.3574886
17610,2055.0,129.4425,0.3680849
17640,2060.7,127.86,0.3614569
17670,2077.3,127.7005,0.3422579
17700,2050.76,127.4683,0.3730271
17730,2056.4,128.6769,0.3664554
17760,2062.66,129.8469,0.359182
17790,2081.44,129.4914,0.3374937
17820,2054.99,126.8947,0.3680966
17850,2083.06,131.1266,0.3356319
17880,2071.16,129.0218,0.3493414
17910,2075.64,128.8752,0.344171
17940,2059.9,127.7153,0.362386
17970,2057.08,128.5111,0.365664
18000,2068.01,126.5146,0.3529832
18030,2062.54,129.1766,0.3593211
18060,2069.84,126.9735,0.3508667
18090,2055.0,129.6115,0.3680849
18120,2063.14,126.586,0.3586252
18150,2073.52,129.8585,0.3466161
18180,2067.66,126.4676,0.3533885
18210,2067.83,128.8776,0.3531916
18240,2082.8,127.3429,0.3359305
18270,2074.3,130.8978,0.345716
18300,2060.36,125.8136,0.3618515
18330,2053.78,126.8181,0.369506
18360,2061.27,126.3908,0.360795
18390,2051.49,129.3483,0.3721756
18420,2071.15,126.6448,0.3493529
18450,2063.01,129.2767,0.3587759
18480,2071.18,127.6169,0.3493182
18510,2075.03,130.3566,0.3448742
18540,2065.12,126.5888,0.3563296
18570,2044.17,129.2817,0.3807291
18600,2053.48,126.6254,0.3698556
18630,2058.9,127.5719,0.363548
18660,2043.49,127.1212,0.3815253
18690,2069.13,130.037,0.3516878
18720,2084.85,126.712,0.3335764
18750,2055.46,128.4398,0.3675493
18780,2058.29,126.9773,0.364257
18810,2071.77,130.1268,0.3486365
18840,2058.14,127.2986,0.3644316
18870,2046.66,127.6484,0.377816
18900,2064.78,126.1776,0.3567237
18930,2047.16,129.7193,0.3772315
18960,2070.33,126.0608,0.3503003
18990,2045.07,128.809,0.3796758
19020,2064.34,128.1414,0.3572336
19050,2053.61,128.9523,0.3697039
19080,2052.84,125.303,0.3706013
19110,2062.12,126.9597,0.3598083
19140,2049.78,127.1896,0.374171
19170,2056.34,127.864,0.366525
19200,2046.7,128.0699,0.3777694
19230,2055.12,128.8906,0.3679451
19260,2055.24,128.8437,0.3678055
19290,2053.11,128.1055,0.3702865
19320,2050.07,126.1189,0.3738324
19350,2039.06,127.0137,0.3867183
19380,2048.95,130.5274,0.3751402
19410,2100.51,126.1187,0.3156696
19440,2048.87,127.9838,0.3752335
19470,2053.41,128.6966,0.3699372
19500,2055.17,127.7198,0.3678871
19530,2068.49,130.1002,0.3524281
19560,2049.35,126.622,0.3746729
19590,2051.82,129.4426,0.3717906
19620,2065.13,128.6378,0.3563182
19650,2069.47,129.3833,0.3512945
19680,2062.87,126.7673,0.3589381
19710,2050.78,129.5685,0.3730038
19740,2043.53,126.6319,0.3814784
19770,2053.7,128.0712,0.3695992
19800,2043.91,127.1931,0.3810334
19830,2052.62,128.3376,0.3708578
19860,2040.65,126.8012,0.3848532
19890,2042.59,127.8982,0.3825794
19920,2053.33,127.8676,0.3700302
19950,2055.03,128.3785,0.36805
19980,2045.07,126.6602,0.3796758
20010,2044.69,128.8072,0.3801205
20040,2057.04,129.0184,0.3657106
20070,2038.53,126.8609,0.3873404
20100,2050.18,128.4615,0.3737042
20130,2042.5,128.0175,0.3826849
20160,2048.87,126.5483,0.3752335
20190,2060.37,129.3167,0.3618398
20220,2044.76,127.462,0.3800386
20250,2062.37,129.6511,0.3595182
20280,2049.91,128.8485,0.3740193
20310,2049.6,127.7569,0.374381
20340,2062.33,130.3029,0.3595647
20370,2044.65,127.4782,0.3801673
20400,2063.86,124.8897,0.3577901
20430,2072.36,130.1633,0.347955
20460,2052.45,128.1257,0.3710561
20490,2055.11,128.9703,0.3679567
20520,2055.47,127.1769,0.3675377
20550,2041.66,128.6197,0.3836691
20580,2038.24,127.7592,0.3876809
20610,2054.57,129.1185,0.3685855
20640,2033.55,127.5095,0.3931932
20670,2034.34,128.8348,0.3922639
20700,2049.97,128.394,0.3739493
20730,2056.08,128.7293,0.3668275
20760,2044.95,128.0017,0.3798163
20790,2033.43,127.5407,0.3933345
20820,2043.93,127.6976,0.38101
20850,2040.64,127.5954,0.3848648
20880,2045.85,127.5935,0.3787633
20910,2041.7,128.2732,0.3836223
20940,2063.92,128.5463,0.3577208
20970,2043.78,127.6012,0.3811856
21000,2045.16,127.564,0.3795705
21030,2068.56,128.588,0.352347
21060,2054.97,128.2545,0.3681198
21090,2024.19,128.0106,0.4042329
21120,2032.23,127.4026,0.3947472
21150,2054.05,128.2452,0.3691913
21180,2042.72,127.1458,0.3824271
21210,2032.56,126.4946,0.3943585
21240,2037.64,126.7509,0.3883854
21270,2037.58,126.8143,0.388456
21300,2055.13,127.5464,0.3679337
21330,2047.0,127.5491,0.3774186
21360,2044.86,127.6544,0.3799216
21390,2041.38,127.5004,0.3839972
21420,2047.4,127.0469,0.376951
21450,2035.28,125.7431,0.3911585
21480,2045.59,126.8768,0.3790675
21510,2052.47,128.4395,0.3710329
21540,2025.53,127.0541,0.4026492
21570,2046.99,126.1557,0.3774302
21600,2044.23,127.7476,0.380659
21630,2025.87,127.4815,0.4022477
21660,2045.62,128.3345,0.3790323
21690,2024.45,125.9853,0.4039256
21720,2036.72,126.7586,0.3894662
21750,2054.87,128.0892,0.3682361
21780,2034.97,126.979,0.391523
21810,2042.02,128.5721,0.3832472
21840,2060.12,129.1999,0.3621302
21870,2036.57,128.3195,0.3896424
21900,2053.8,126.9377,0.3694826
21930,2045.15,126.7202,0.3795821
21960,2038.04,129.2077,0.3879156
21990,2049.81,125.8257,0.3741359
22020,2051.22,127.827,0.3724906
22050,2031.53,127.8358,0.3955716
22080,2036.93,127.9727,0.3892193
22110,2037.89,126.1718,0.3880918
22140,2037.52,127.3616,0.3885263
22170,2056.77,128.4133,0.3660246
22200,2038.45,128.8358,0.3874345
