Time,ADC Value,Std Deviation,Calibrated OD
12090,2273.41,156.8593,0.1667759
12120,2268.73,149.9087,0.1717069
12150,2272.65,155.6817,0.1675759
12180,2268.62,150.2706,0.1718227
12210,2272.56,156.9756,0.1676706
12240,2273.02,149.7815,0.1671863
12270,2266.47,154.9837,0.1740919
12300,2273.57,148.5199,0.1666073
12330,2277.81,155.7807,0.1621489
12360,2270.25,151.0391,0.1701042
12390,2267.14,156.1027,0.1733846
12420,2279.4,151.1619,0.1604793
12450,2273.35,155.9376,0.1668388
12480,2269.78,150.1453,0.1705996
12510,2269.26,156.9673,0.1711479
12540,2271.23,149.0497,0.1690716
12570,2274.73,155.8418,0.1653867
12600,2267.75,151.3034,0.1727407
12630,2265.91,157.359,0.1746832
12660,2273.92,148.7242,0.1662391
12690,2274.11,155.9896,0.166039
12720,2271.31,150.7811,0.168987
12750,2269.32,139.3526,0.1710846
12780,2268.29,148.5642,0.1721709
12810,2268.64,156.734,0.1718019
12840,2267.52,151.0136,0.1729835
12870,2271.68,155.7868,0.1685975
12900,2271.05,150.5721,0.1692611
12930,2267.34,154.8172,0.1731734
12960,2275.64,148.4107,0.1644298
12990,2276.26,156.3013,0.1637778
13020,2271.51,149.2456,0.1687765
13050,2265.69,154.7226,0.1749154
13080,2279.15,149.2483,0.1607418
13110,2272.43,154.931,0.1678076
13140,2263.59,150.1335,0.1771343
13170,2275.32,156.364,0.1647661
13200,2264.16,150.9617,0.176532
13230,2270.5,156.4146,0.1698407
13260,2271.72,149.0371,0.1685553
13290,2269.63,153.7327,0.170758
13320,2271.95,148.1362,0.168313
13350,2265.79,157.048,0.1748098
13380,2273.82,149.5469,0.1663442
13410,2272.8,154.8834,0.1674179
13440,2269.8,149.8076,0.1705785
13470,2274.27,158.1576,0.1658707
13500,2271.65,150.4369,0.1686291
13530,2267.09,155.8298,0.1734372
13560,2275.9,146.6326,0.1641564
13590,2265.25,154.5641,0.1753803
13620,2272.59,150.2936,0.167639
13650,2274.76,156.1092,0.1653553
13680,2270.96,149.3507,0.169356
13710,2265.49,155.7681,0.1751267
13740,2270.15,149.9164,0.1702096
13770,2268.68,156.6052,0.1717596
13800,2269.51,150.2629,0.1708843
13830,2272.49,154.41,0.1677444
13860,2270.16,151.6021,0.1701991
13890,2268.75,156.1815,0.1716857
13920,2270.58,149.2237,0.1697564
13950,2274.55,155.2695,0.165576
13980,2273.99,151.1667,0.1661654
14010,2267.5,155.1702,0.1730045
14040,2264.7,148.5151,0.1759614
14070,2274.48,155.5429,0.1656498
14100,2270.25,148.7741,0.1701042
14130,2263.99,156.0793,0.1767115
14160,2268.38,147.8493,0.1720762
14190,2270.2,155.7692,0.1701569
14220,2262.45,149.0626,0.1783398
14250,2266.66,155.655,0.1738912
14280,2264.68,148.9377,0.1759824
14310,2269.44,155.6154,0.1709581
14340,2269.57,149.1931,0.170821
14370,2271.32,154.6456,0.1689766
14400,2266.9,150.5691,0.173638
14430,2272.53,154.9775,0.1677021
14460,2274.62,150.1523,0.1655024
14490,2264.9,154.6042,0.17575
14520,2268.36,150.9236,0.172097
14550,2264.87,154.955,0.1757815
14580,2273.56,151.4221,0.1666178
14610,2267.21,155.5645,0.1733106
14640,2271.63,150.2508,0.1686502
14670,2269.9,155.8464,0.1704732
14700,2266.98,150.0656,0.1735533
14730,2270.3,156.7577,0.1700514
14760,2268.49,147.7757,0.1719601
14790,2268.19,154.2783,0.1722766
14820,2269.21,149.1655,0.1712008
14850,2273.59,155.291,0.1665862
14880,2265.78,148.7512,0.1748204
14910,2271.12,155.7587,0.1691873
14940,2271.63,149.3854,0.1686502
14970,2264.93,155.7391,0.1757183
15000,2273.8,150.9187,0.1663652
15030,2270.86,156.077,0.1694612
15060,2263.86,150.4933,0.1768488
15090,2273.11,156.6082,0.1670914
15120,2271.92,148.8195,0.1683446
15150,2275.5,156.6041,0.1645769
15180,2265.89,148.8718,0.1747044
15210,2262.73,156.717,0.1780437
15240,2271.07,150.8292,0.16924
15270,2270.79,154.9348,0.1695351
15300,2270.72,148.7254,0.1696089
15330,2267.34,155.8242,0.1731734
15360,2275.86,150.8966,0.1641982
15390,2266.11,152.6093,0.1744718
15420,2270.01,153.8017,0.1703571
15450,2267.87,152.2357,0.172614
15480,2266.74,154.7139,0.1738067
15510,2273.25,153.6121,0.1669441
15540,2263.83,148.9664,0.1768806
15570,2265.58,153.1264,0.1750314
15600,2271.79,155.3326,0.1684815
15630,2267.2,154.0744,0.1733212
15660,2276.78,155.3914,0.1632313
15690,2265.59,150.5243,0.1750209
15720,2270.35,153.8327,0.1699987
15750,2268.5,153.3511,0.1719494
15780,2267.31,154.7931,0.1732049
15810,2265.73,152.0542,0.1748732
15840,2265.72,152.6329,0.1748837
15870,2265.96,151.2949,0.1746304
15900,2268.52,152.4418,0.1719284
15930,2266.68,152.7147,0.1738702
15960,2266.11,153.1114,0.1744718
15990,2269.94,148.2353,0.170431
16020,2266.7,154.392,0.173849
16050,2268.69,153.1079,0.1717491
16080,2272.1,154.9412,0.168155
16110,2269.77,151.5225,0.1706101
16140,2272.29,154.2022,0.1679549
16170,2266.29,153.4917,0.1742818
16200,2269.06,155.7018,0.1713588
16230,2265.8,152.1079,0.1747992
16260,2272.49,152.8688,0.1677444
16290,2278.89,153.6534,0.1610148
16320,2272.08,154.602,0.168176
16350,2259.24,155.5439,0.1817373
16380,2263.64,153.1612,0.1770816
16410,2267.4,153.3024,0.1731102
16440,2264.64,155.9027,0.1760247
16470,2261.75,152.7172,0.1790804
16500,2256.54,152.5499,0.1845987
16530,2261.24,150.6242,0.17962
16560,2267.35,153.5141,0.1731627
16590,2267.86,152.2465,0.1726245
16620,2268.15,155.3821,0.1723188
16650,2270.32,152.5531,0.1700304
16680,2270.69,156.0791,0.1696404
16710,2263.55,152.2212,0.1771766
16740,2261.97,155.3815,0.1788477
16770,2277.57,152.2556,0.1624011
16800,2266.72,155.2683,0.1738279
16830,2265.28,151.509,0.1753485
16860,2266.81,153.9479,0.1737327
16890,2265.3,152.1876,0.1753273
16920,2264.63,154.3226,0.1760354
16950,2262.84,150.5338,0.1779274
16980,2268.1,154.1504,0.1723714
17010,2263.68,150.9126,0.1770393
17040,2263.11,154.1998,0.1776417
17070,2263.45,152.015,0.1772824
17100,2266.1,152.085,0.1744823
17130,2259.43,152.3915,0.1815362
17160,2271.31,154.2621,0.168987
17190,2260.34,151.8316,0.1805725
17220,2265.96,153.2509,0.1746304
17250,2262.15,152.4334,0.1786572
17280,2273.17,154.4572,0.1670285
17310,2269.13,152.1053,0.1712852
17340,2263.7,154.5688,0.1770181
17370,2267.33,152.4952,0.1731839
17400,2265.51,154.5802,0.1751055
17430,2265.7,150.9051,0.1749049
17460,2267.72,153.2541,0.1727724
17490,2272.19,154.1015,0.1680603
17520,2268.66,152.9154,0.1717808
17550,2271.09,153.2526,0.1692189
17580,2267.11,153.6432,0.173416
17610,2259.62,154.3847,0.1813348
17640,2269.56,155.1178,0.1708315
17670,2268.7,154.5079,0.1717386
17700,2265.98,153.2067,0.1746091
17730,2272.71,150.8453,0.1675127
17760,2265.74,154.555,0.1748626
17790,2273.97,153.355,0.1661864
17820,2258.71,154.487,0.1822988
17850,2270.89,152.4628,0.1694298
17880,2259.32,153.406,0.1816525
17910,2267.57,152.2647,0.1729306
17940,2264.7,154.506,0.1759614
17970,2268.5,152.7208,0.1719494
18000,2260.53,154.4274,0.1803714
18030,2263.73,153.0813,0.1769865
18060,2263.21,155.5092,0.1775361
18090,2265.0,152.0018,0.1756442
18120,2269.11,155.9459,0.1713061
18150,2271.41,152.4081,0.1688818
18180,2264.28,153.0249,0.176405
18210,2268.32,151.9808,0.1721392
18240,2268.52,153.5655,0.1719284
18270,2265.07,151.8161,0.1755703
18300,2273.11,155.0656,0.1670914
18330,2269.43,141.6023,0.1709687
18360,2266.44,153.0573,0.1741234
18390,2264.51,152.2616,0.176162
18420,2259.54,153.8944,0.1814196
18450,2267.01,153.8445,0.1735217
18480,2256.97,155.1023,0.1841428
18510,2263.72,152.6834,0.176997
18540,2265.98,154.1842,0.1746091
18570,2262.31,151.0238,0.1784878
18600,2262.07,152.7262,0.1787417
18630,2263.62,152.845,0.1771026
18660,2258.29,155.2021,0.1827438
18690,2268.13,152.5809,0.1723399
18720,2269.63,154.2008,0.170758
18750,2267.27,153.2834,0.1732472
18780,2259.83,153.5137,0.1811124
18810,2255.27,151.9635,0.185946
18840,2260.06,153.2248,0.180869
18870,2265.3,151.6087,0.1753273
18900,2262.19,153.6067,0.1786148
18930,2259.01,152.5373,0.181981
18960,2266.07,154.1469,0.1745141
18990,2263.09,153.3655,0.177663
19020,2261.59,152.2505,0.1792495
19050,2262.05,152.9134,0.1787628
19080,2266.51,138.2115,0.1740496
19110,2263.72,153.2506,0.176997
19140,2261.92,149.2486,0.1789006
19170,2263.99,157.034,0.1767115
19200,2262.71,149.4225,0.1780649
19230,2260.51,154.7401,0.1803926
19260,2264.88,149.815,0.1757712
19290,2260.0,154.2688,0.1809325
19320,2261.52,151.9267,0.1793236
19350,2263.01,155.3427,0.1777476
19380,2264.92,149.1631,0.1757289
19410,2260.74,153.4292,0.1801492
19440,2264.31,149.2009,0.1763733
19470,2264.77,154.0743,0.1758873
19500,2259.28,148.8703,0.1816949
19530,2264.27,155.1925,0.1764157
19560,2260.21,149.0875,0.1807101
19590,2257.94,155.8358,0.1831147
19620,2266.1,150.5079,0.1744823
19650,2260.43,155.2101,0.1804773
19680,2256.88,150.2539,0.1842384
19710,2260.14,156.2701,0.1807844
19740,2272.43,148.6704,0.1678076
19770,2265.83,155.7575,0.1747676
19800,2258.31,149.2254,0.1827225
19830,2267.13,157.0619,0.1733951
19860,2259.57,150.1919,0.1813877
19890,2255.49,155.1895,0.1857125
19920,2262.13,147.7792,0.1786784
19950,2260.46,156.0214,0.1804455
19980,2257.56,149.6021,0.1835173
20010,2250.7,154.9448,0.1907998
20040,2260.5,148.2546,0.1804031
20070,2258.98,153.52,0.1820128
20100,2263.84,149.17,0.1768701
20130,2259.62,155.8353,0.1813348
20160,2264.98,149.5626,0.1756654
20190,2258.52,155.2536,0.1825
20220,2259.73,148.5629,0.1812185
20250,2256.97,154.3197,0.1841428
20280,2256.57,148.4212,0.184567
20310,2255.55,154.8339,0.1856488
20340,2259.36,148.8063,0.1816101
20370,2263.47,154.6995,0.1772613
20400,2264.13,150.0912,0.1765636
20430,2259.6,157.2474,0.1813559
20460,2256.1,149.5224,0.1850654
20490,2262.66,154.9411,0.1781178
20520,2266.57,150.8534,0.1739861
20550,2263.38,154.266,0.1773565
20580,2262.88,150.5572,0.1778852
20610,2270.3,156.4585,0.1700514
20640,2260.23,148.6984,0.180689
20670,2265.25,156.8852,0.1753803
20700,2265.99,149.2714,0.1745986
20730,2262.26,155.3637,0.1785408
20760,2259.11,142.8993,0.1818749
20790,2253.23,156.9403,0.1881114
20820,2260.78,150.2734,0.1801068
20850,2261.62,154.4674,0.1792176
20880,2257.79,147.9693,0.1832736
20910,2261.13,153.6363,0.1797365
20940,2260.97,148.618,0.1799057
20970,2257.14,155.1359,0.1839627
21000,2257.36,151.9515,0.1837294
21030,2255.55,154.4949,0.1856488
21060,2262.5,151.5673,0.1782869
21090,2259.59,155.5911,0.1813666
21120,2258.12,150.1266,0.1829238
21150,2262.65,155.6131,0.1781285
21180,2256.44,147.9961,0.1847049
